Year,Month_Num,Month_Name,Category,Region,Segment,Total_Sales,Total_Orders,Total_Customers,Avg_Order_Value,Total_Profit
2014,1,Jan,Furniture,Central,Consumer,364.398,2,2,121.46600000000001,-18.825300000000006
2014,1,Jan,Furniture,Central,Corporate,141.96,1,1,141.96,39.7488
2014,1,Jan,Furniture,East,Consumer,137.044,2,2,68.522,31.6798
2014,1,Jan,Furniture,East,Corporate,61.96,1,1,61.96,-53.2856
2014,1,Jan,Furniture,South,Consumer,1677.728,3,3,419.432,327.30060000000003
2014,1,Jan,Furniture,South,Corporate,51.94,1,1,51.94,21.2954
2014,1,Jan,Furniture,South,Home Office,2649.06,2,2,883.02,781.6608
2014,1,Jan,Furniture,West,Consumer,1158.435,5,5,231.68699999999998,-324.10799999999995
2014,1,Jan,Office Supplies,Central,Consumer,703.608,6,6,58.63399999999999,148.7872
2014,1,Jan,Office Supplies,Central,Corporate,10.68,1,1,10.68,5.0196
2014,1,Jan,Office Supplies,Central,Home Office,288.06,1,1,96.02,-65.9901
2014,1,Jan,Office Supplies,East,Consumer,112.97,4,4,18.828333333333333,13.299400000000002
2014,1,Jan,Office Supplies,South,Consumer,52.93,1,1,17.643333333333334,19.418300000000002
2014,1,Jan,Office Supplies,South,Corporate,723.3840000000001,4,4,103.34057142857145,22.953899999999994
2014,1,Jan,Office Supplies,South,Home Office,1179.16,2,2,168.45142857142858,296.96139999999997
2014,1,Jan,Office Supplies,West,Consumer,1715.424,6,6,171.5424,342.0145
2014,1,Jan,Office Supplies,West,Corporate,64.864,1,1,64.864,6.4864
2014,1,Jan,Technology,Central,Consumer,31.2,1,1,31.2,9.75
2014,1,Jan,Technology,East,Consumer,124.2,1,1,124.2,-31.05
2014,1,Jan,Technology,South,Consumer,849.8799999999999,2,2,424.93999999999994,247.95979999999997
2014,1,Jan,Technology,South,Corporate,646.74,1,1,646.74,258.696
2014,1,Jan,Technology,South,Home Office,1491.27,2,2,372.8175,370.4178
2014,2,Feb,Furniture,Central,Consumer,418.99,2,2,139.66333333333333,57.1709
2014,2,Feb,Furniture,Central,Corporate,20.32,1,1,20.32,6.9088
2014,2,Feb,Furniture,South,Consumer,1256.22,1,1,1256.22,75.3732
2014,2,Feb,Furniture,West,Consumer,129.568,1,1,129.568,-24.294
2014,2,Feb,Furniture,West,Home Office,14.56,1,1,14.56,5.5328
2014,2,Feb,Office Supplies,Central,Consumer,251.29,7,6,22.844545454545454,6.501900000000003
2014,2,Feb,Office Supplies,Central,Home Office,11.364,1,1,5.682,-4.522500000000001
2014,2,Feb,Office Supplies,East,Consumer,19.456,1,1,19.456,3.4048
2014,2,Feb,Office Supplies,East,Corporate,64.96,1,1,64.96,9.744
2014,2,Feb,Office Supplies,South,Consumer,35.796,2,2,17.898,-4.017799999999999
2014,2,Feb,Office Supplies,South,Corporate,15.0,1,1,15.0,7.2
2014,2,Feb,Office Supplies,West,Consumer,172.224,3,3,34.4448,59.6819
2014,2,Feb,Office Supplies,West,Corporate,359.188,3,3,89.797,40.967
2014,2,Feb,Office Supplies,West,Home Office,142.446,3,3,35.6115,57.1317
2014,2,Feb,Technology,Central,Consumer,468.9,1,1,468.9,206.316
2014,2,Feb,Technology,Central,Corporate,62.31,1,1,62.31,22.4316
2014,2,Feb,Technology,East,Corporate,115.36,1,1,115.36,49.6048
2014,2,Feb,Technology,South,Consumer,415.40999999999997,2,2,207.70499999999998,116.73
2014,2,Feb,Technology,South,Corporate,306.56,1,1,153.28,84.0541
2014,2,Feb,Technology,West,Corporate,239.97,1,1,239.97,86.3892
2014,3,Mar,Furniture,Central,Consumer,2877.872,4,4,575.5744,-124.07400000000001
2014,3,Mar,Furniture,Central,Home Office,761.418,2,2,380.709,-181.2102
2014,3,Mar,Furniture,East,Consumer,375.106,2,2,187.553,67.4944
2014,3,Mar,Furniture,East,Corporate,3567.6800000000003,2,2,891.9200000000001,-1323.6408999999999
2014,3,Mar,Furniture,East,Home Office,330.588,1,1,330.588,-143.2548
2014,3,Mar,Furniture,South,Consumer,1422.5120000000002,3,3,355.62800000000004,99.2926
2014,3,Mar,Furniture,South,Corporate,25.008,1,1,12.504,6.8772
2014,3,Mar,Furniture,South,Home Office,1293.04,2,2,431.0133333333333,308.35060000000004
2014,3,Mar,Furniture,West,Consumer,1378.7779999999998,5,5,275.75559999999996,35.9431
2014,3,Mar,Furniture,West,Corporate,1232.624,2,2,410.87466666666666,40.647
2014,3,Mar,Furniture,West,Home Office,1309.33,2,2,654.665,84.91999999999999
2014,3,Mar,Office Supplies,Central,Consumer,919.8340000000001,10,10,54.10788235294118,-348.611
2014,3,Mar,Office Supplies,Central,Home Office,361.64,3,3,120.54666666666667,121.62389999999999
2014,3,Mar,Office Supplies,East,Consumer,433.834,7,7,39.439454545454545,169.0666
2014,3,Mar,Office Supplies,East,Corporate,390.24,5,5,55.74857142857143,132.37939999999998
2014,3,Mar,Office Supplies,East,Home Office,198.84,2,2,49.71,72.8617
2014,3,Mar,Office Supplies,South,Consumer,859.892,8,8,66.14553846153846,22.986700000000003
2014,3,Mar,Office Supplies,South,Corporate,624.509,6,6,39.0318125,191.6223
2014,3,Mar,Office Supplies,South,Home Office,139.38400000000001,2,2,34.846000000000004,46.2707
2014,3,Mar,Office Supplies,West,Consumer,2308.4900000000002,8,8,144.28062500000001,423.2538
2014,3,Mar,Office Supplies,West,Corporate,405.378,5,5,45.042,71.205
2014,3,Mar,Office Supplies,West,Home Office,1963.838,2,2,981.919,367.75419999999997
2014,3,Mar,Technology,Central,Consumer,79.984,1,1,79.984,13.9972
2014,3,Mar,Technology,Central,Home Office,826.8539999999999,2,2,413.42699999999996,244.2274
2014,3,Mar,Technology,East,Consumer,479.97,1,1,479.97,177.5889
2014,3,Mar,Technology,East,Corporate,151.2,1,1,151.2,32.13
2014,3,Mar,Technology,East,Home Office,15.93,2,2,7.965,6.199199999999999
2014,3,Mar,Technology,South,Corporate,4615.076,3,3,923.0152,1170.3341
2014,3,Mar,Technology,South,Home Office,23931.699999999997,2,2,7977.233333333333,-1798.0094000000001
2014,3,Mar,Technology,West,Consumer,733.0319999999999,3,3,244.34399999999997,60.339
2014,3,Mar,Technology,West,Corporate,95.084,2,2,47.542,11.497399999999999
2014,3,Mar,Technology,West,Home Office,1582.344,2,2,791.172,438.6678
2014,4,Apr,Furniture,Central,Consumer,1468.218,3,3,367.0545,-243.38649999999998
2014,4,Apr,Furniture,East,Consumer,189.57000000000002,2,2,94.78500000000001,-88.72409999999999
2014,4,Apr,Furniture,East,Home Office,739.844,2,2,184.961,-52.4116
2014,4,Apr,Furniture,South,Consumer,60.92,2,2,30.46,15.7676
2014,4,Apr,Furniture,South,Corporate,1955.184,3,3,651.728,432.534
2014,4,Apr,Furniture,West,Consumer,59.92,1,1,59.92,27.5632
2014,4,Apr,Furniture,West,Corporate,1317.399,4,4,263.47979999999995,144.5306
2014,4,Apr,Furniture,West,Home Office,2153.782,4,4,430.75640000000004,318.50690000000003
2014,4,Apr,Office Supplies,Central,Consumer,1139.458,6,6,103.58709090909092,167.0406
2014,4,Apr,Office Supplies,Central,Corporate,101.728,1,1,50.864,7.6296
2014,4,Apr,Office Supplies,Central,Home Office,16.608,1,1,8.304,4.1748
2014,4,Apr,Office Supplies,East,Corporate,1675.718,7,7,104.732375,-195.3667
2014,4,Apr,Office Supplies,East,Home Office,81.102,4,4,20.2755,22.801000000000002
2014,4,Apr,Office Supplies,South,Consumer,1336.24,5,5,148.4711111111111,383.13919999999996
2014,4,Apr,Office Supplies,South,Corporate,5694.042,7,7,474.50350000000003,254.1509
2014,4,Apr,Office Supplies,South,Home Office,58.32,1,1,58.32,27.9936
2014,4,Apr,Office Supplies,West,Consumer,195.362,5,5,24.42025,64.6204
2014,4,Apr,Office Supplies,West,Corporate,327.214,8,8,29.746727272727274,122.2619
2014,4,Apr,Office Supplies,West,Home Office,529.282,6,6,75.61171428571429,141.7633
2014,4,Apr,Technology,Central,Consumer,227.976,1,1,227.976,28.497
2014,4,Apr,Technology,Central,Home Office,758.352,1,1,758.352,265.4232
2014,4,Apr,Technology,East,Consumer,19.98,1,1,19.98,5.1948
2014,4,Apr,Technology,East,Corporate,231.908,2,2,115.954,65.9844
2014,4,Apr,Technology,East,Home Office,116.784,1,1,116.784,21.897
2014,4,Apr,Technology,South,Consumer,2120.016,4,4,424.0032,471.61389999999994
2014,4,Apr,Technology,South,Corporate,758.9200000000001,3,3,252.97333333333336,215.18550000000002
2014,4,Apr,Technology,South,Home Office,200.97,1,1,200.97,50.2425
2014,4,Apr,Technology,West,Consumer,2290.952,3,3,572.738,323.7496
2014,4,Apr,Technology,West,Corporate,2069.616,4,4,344.936,346.4726
2014,4,Apr,Technology,West,Home Office,399.96,1,1,399.96,139.986
2014,5,May,Furniture,Central,Consumer,1081.09,7,7,154.44142857142856,-326.059
2014,5,May,Furniture,Central,Corporate,1223.2920000000001,2,2,611.6460000000001,-75.2529
2014,5,May,Furniture,East,Consumer,2293.283,5,5,382.2138333333333,-127.9727
2014,5,May,Furniture,East,Corporate,139.86,1,1,139.86,60.1398
2014,5,May,Furniture,South,Corporate,310.88,1,1,310.88,23.316
2014,5,May,Furniture,West,Consumer,482.08,2,2,241.04,54.6276
2014,5,May,Furniture,West,Corporate,1382.302,5,5,276.4604,41.3236
2014,5,May,Office Supplies,Central,Consumer,439.728,8,8,36.644,-140.74859999999998
2014,5,May,Office Supplies,Central,Corporate,122.576,2,2,40.858666666666664,-5.803999999999999
2014,5,May,Office Supplies,Central,Home Office,235.292,3,3,58.823,-110.68979999999999
2014,5,May,Office Supplies,East,Consumer,597.122,10,9,39.80813333333333,194.0034
2014,5,May,Office Supplies,East,Corporate,409.204,3,3,68.20066666666666,135.7552
2014,5,May,Office Supplies,East,Home Office,711.6800000000001,1,1,237.2266666666667,297.0884
2014,5,May,Office Supplies,South,Consumer,74.74000000000001,2,2,18.685000000000002,26.9186
2014,5,May,Office Supplies,South,Corporate,2935.58,4,4,366.9475,1355.4117
2014,5,May,Office Supplies,South,Home Office,405.45599999999996,1,1,202.72799999999998,-329.56239999999997
2014,5,May,Office Supplies,West,Consumer,444.55,5,5,74.09166666666667,175.3161
2014,5,May,Office Supplies,West,Corporate,425.0,3,3,141.66666666666666,30.0608
2014,5,May,Office Supplies,West,Home Office,334.69599999999997,4,4,66.9392,119.455
2014,5,May,Technology,Central,Consumer,205.768,2,2,68.58933333333333,21.1789
2014,5,May,Technology,Central,Corporate,740.76,2,2,370.38,131.35829999999999
2014,5,May,Technology,East,Consumer,2634.954,3,3,878.3180000000001,60.92240000000001
2014,5,May,Technology,East,Corporate,464.0,1,1,464.0,134.56
2014,5,May,Technology,South,Consumer,1434.614,3,3,286.9228,367.5507
2014,5,May,Technology,South,Corporate,617.97,1,1,617.97,173.0316
2014,5,May,Technology,West,Consumer,3131.234,6,6,391.40425,393.1797
2014,5,May,Technology,West,Corporate,370.576,2,2,92.644,59.6012
2014,6,Jun,Furniture,Central,Consumer,1171.3846,4,4,292.84615,-237.25529999999998
2014,6,Jun,Furniture,Central,Corporate,897.862,1,1,448.931,-75.5522
